batch_name,zeta,sample_count,iae_mean,iae_std,iae_p10,iae_median,iae_p90,shadow_mass_l1_mean,shadow_mass_l1_std
wide_jitter_noisy,0.4,30,10.06957112161061,0.08838518689696498,9.930922029207618,10.067336761241943,10.173370458019258,1.680309178913144,1.297207688358297e-05
wide_jitter_noisy,0.45,30,10.18932062749878,0.16786865703151135,9.98698056276947,10.147034907542512,10.429229766239297,1.5167876055600664,1.0723857183102484e-05
wide_jitter_noisy,0.5,30,10.353961897413454,0.1655467450617471,10.161002055039944,10.341208008354037,10.590030805885766,1.38955340823128,7.660796469443722e-06
wide_jitter_noisy,0.55,30,10.472374594167484,0.21332792374771253,10.181455245148507,10.449875478190474,10.784497122106428,1.2891504181996325,7.09782488084387e-06
wide_jitter_noisy,0.6,30,10.568232705003453,0.20923520689858047,10.345533849478603,10.517619014362367,10.828965814011983,1.2093791741740874,5.745725760781798e-06
wide_jitter_noisy,0.65,30,10.793627126102317,0.2712740645475144,10.363506715336117,10.828852382112991,11.13255836372018,1.146070564527668,7.154815327368253e-06
wide_jitter_noisy,0.7,30,10.913530944631209,0.310595601914427,10.553614117611884,10.876699991528454,11.31746124757083,1.096380073342375,6.870486905262275e-06
wide_jitter_noisy,0.707,30,11.016221793563895,0.2891963613464239,10.60478390439769,11.04624120844942,11.337200687401324,1.090393512982854,6.232065502340793e-06
wide_jitter_noisy,0.75,30,11.111119897230488,0.3453250530444256,10.738106643536993,10.966386017950695,11.606852106133854,1.0583789745809042,6.534598715178246e-06
wide_jitter_noisy,0.8,30,11.388424856902692,0.36414915892463257,10.960431101350112,11.349745837247522,11.914107708644776,1.030768727735842,6.253501245383324e-06
wide_jitter_noisy,0.85,30,11.488384984781417,0.47571116671156755,10.906528079177955,11.45586094557106,12.169481238508519,1.0126249514449333,7.176751766728712e-06
wide_jitter_noisy,0.9,30,11.735563447627081,0.4453843683426832,11.185179993736652,11.693763806985608,12.317276808235329,1.0030230177901094,6.037942771971957e-06
wide_jitter_noisy,0.95,30,11.993858560996756,0.4998530727349966,11.416032547856071,11.911277060067448,12.718811044335599,1.000112632308652,6.014557520063141e-06
wide_jitter_noisy,1.0,30,12.067187802959785,0.5843779314080766,11.452050408885507,11.769985116935171,12.97037200254531,0.9999687253387535,6.914257795453331e-06
wn_jitter_clean,0.1,30,0.9733593310670033,0.0657388490629924,0.880889121193157,0.968004459073522,1.0540419145700757,6.386783940492281,4.2315835977178965e-05
wn_jitter_clean,0.15,30,1.380318295012403,0.08620033355674811,1.255104393825096,1.3874480310071549,1.501525032051443,4.275218809067326,3.0350614103747477e-05
