environment_name,mode,level,zeta,noise_std,gust_std,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,ci_true_iae_low,ci_true_iae_high,mean_true_ise,mean_peak_abs_error,mean_abs_error,mean_excess_true_iae_over_clean,mean_shadow_mass_l2_trial,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate,valid_trial_count,bootstrap_best_frequency
command_heavy,command,heavy,0.35,20.0,1.0,1109.5294172296833,87.80478657337689,995.0237995808824,1108.7411286132933,1210.3452641315491,1097.3318065206063,1121.7401020928814,9114.67254205374,15.74319806159849,6.1625317010026315,33.782388103050174,0.21734552861649875,87.15555697521599,,1.0,200,0.0
command_heavy,command,heavy,0.5,20.0,1.0,914.2459296291731,76.45136594796377,820.5208377450973,913.7585981449826,1005.9258440188485,903.7232611881683,925.1034844666962,6451.359460466376,14.055661162356355,5.077909166893079,53.8307494982272,0.21602122919516722,86.62451290726207,,1.0,200,0.0
command_heavy,command,heavy,0.707,20.0,1.0,892.6624062264871,74.91112056354932,801.5947912909562,893.6682244322376,982.9273843343691,882.3111901633052,903.2775326716377,6191.392280512349,13.90469895941808,4.9580329903594125,58.17445661831795,0.2205596067075388,88.44440228972307,,1.0,200,0.0
command_heavy,command,heavy,1.0,20.0,1.0,805.2680447458432,68.04318217294728,721.668375297828,809.7413109062611,888.234536803269,795.5633175263162,815.0643297734504,5195.810863913498,13.397133352642697,4.472644639416978,82.79529312492028,0.24859451638816094,99.68640107165253,,1.0,200,0.0
measurement_clean,measurement,clean,0.15,0.0,0.0,715.583938422919,0.0,715.583938422919,715.583938422919,715.583938422919,715.583938422919,715.583938422919,2853.989509058579,4.473224521033617,3.9747010910327787,0.0,0.38048733311239097,0.0,891.1542553729159,1.0,1,0.0
measurement_clean,measurement,clean,0.2,0.0,0.0,651.2425879234069,0.0,651.2425879234069,651.2425879234069,651.2425879234069,651.2425879234069,651.2425879234069,2589.5374643428377,5.96175360759033,3.6170249689829794,0.0,0.2738908791242443,0.0,827.4698274695743,1.0,1,1.0
measurement_clean,measurement,clean,0.25,0.0,0.0,1033.4829850508527,0.0,1033.4829850508527,1033.4829850508527,1033.4829850508527,1033.4829850508527,1033.4829850508527,6348.683433195511,8.692359388316671,5.740076994683479,0.0,0.22440162223065932,0.0,1209.143584676729,1.0,1,0.0
measurement_clean,measurement,clean,0.35,0.0,0.0,1075.7470291266332,0.0,1075.7470291266332,1075.7470291266332,1075.7470291266332,1075.7470291266332,1075.7470291266332,6865.961852048261,8.99028861792765,5.974822103082961,0.0,0.2156430400621725,0.0,1251.3435526110754,1.0,1,0.0
measurement_clean,measurement,clean,0.5,0.0,0.0,860.415180130946,0.0,860.415180130946,860.415180130946,860.415180130946,860.415180130946,860.415180130946,4442.1959652226615,7.471587158433373,4.778816712979705,0.0,0.21647542737165718,0.0,1036.3349940049513,1.0,1,0.0
measurement_clean,measurement,clean,0.707,0.0,0.0,834.4879496081691,0.0,834.4879496081691,834.4879496081691,834.4879496081691,834.4879496081691,834.4879496081691,4185.636678815064,7.288851377921038,4.634810805391641,0.0,0.22103460032738334,0.0,1010.4462746862523,1.0,1,0.0
measurement_clean,measurement,clean,1.0,0.0,0.0,722.472751620923,0.0,722.472751620923,722.472751620923,722.472751620923,722.472751620923,722.472751620923,3164.6785679889945,6.5027680736913975,4.012652970763095,0.0,0.2490584969096591,0.0,898.5960107119349,1.0,1,0.0
measurement_light,measurement,light,0.15,3.0,0.25,716.6553956410058,16.9723909007595,694.4535358285077,716.6618295948936,737.7515199394471,714.4095982248887,719.1172453605213,2935.0066613756867,5.672531728049051,3.980640216285922,1.0714572180868276,0.3813089634623057,3.455612481377145,891.5807485219551,1.0,200,0.0
measurement_light,measurement,light,0.2,3.0,0.25,652.3450678901322,16.42394211048168,628.9111712166233,652.2245158538375,674.3997076315537,650.1085895991691,654.7261723786704,2675.6539063593095,6.756392035113146,3.623135038793088,1.1024799667253364,0.2745952524220476,2.4885194750748054,827.9490189981466,1.0,200,1.0
measurement_light,measurement,light,0.25,3.0,0.25,1034.7596036004702,21.271721767163104,1005.2242658672465,1035.4205365442122,1062.4716834021558,1031.837185907233,1037.783549803859,6461.148366370902,9.471563156049406,5.747151189070825,1.2766185496176552,0.2256918176400814,2.0453320973632376,1209.7810167190376,1.0,200,0.0
measurement_light,measurement,light,0.35,3.0,0.25,1077.0466535105381,21.83424849812232,1046.8545423900928,1077.961337507747,1105.6407238181112,1074.0215531473527,1080.1594685803877,6981.226736765477,9.756255359523973,5.98202391199244,1.299624383905129,0.21684039410867867,1.9651160716099008,1252.004136325219,1.0,200,0.0
measurement_light,measurement,light,0.5,3.0,0.25,861.6030820027252,19.008939358798777,835.0173372895508,861.9003011866605,885.99940081251,859.0712774817229,864.3379494584851,4538.699706850001,8.232135738203247,4.785400201524546,1.1879018717790024,0.2168494895366871,1.9651984989262268,1036.8816500425944,1.0,200,0.0
measurement_light,measurement,light,0.707,3.0,0.25,835.6636250769475,18.678270119641567,809.4502603269516,835.8426526551712,859.7065196334206,833.1739861664053,838.3533945317141,4280.544881523019,8.049572884415266,4.641326557423213,1.1756754687784303,0.22141295755339085,2.0065549278276045,1010.9811502063851,1.0,200,0.0
